depth	min	max	median	mean
55.9	1396.4	1609.7	1557.3	1538.6
56	1395.3	1608.6	1556.1	1537.4
56.1	1393.7	1607.3	1554.7	1536.2
56.2	1393.1	1606.1	1553.4	1535
56.3	1391.4	1604.7	1552.3	1533.8
56.4	1389.7	1602.8	1551.3	1532.7
56.5	1388.7	1601.1	1550.2	1531.5
56.6	1387.2	1600.1	1548.9	1530.3
56.7	1385.5	1599	1547.9	1529.1
56.8	1383.8	1597.4	1546.7	1527.9
56.9	1382.4	1596.2	1545.5	1526.8
57	1380.4	1595.1	1544.3	1525.6
57.1	1377.9	1593.3	1543	1524.4
57.2	1376.5	1592.6	1541.7	1523.2
57.3	1375.1	1591.2	1540.6	1522
57.4	1373.9	1589.5	1539.4	1520.8
57.5	1372.6	1588.2	1538.1	1519.6
57.6	1371.2	1586.4	1537.2	1518.4
57.7	1369.6	1585.2	1535.9	1517.1
57.8	1368.3	1583.5	1534.9	1515.9
57.9	1366.4	1581.9	1533.6	1514.7
58	1365.2	1580.9	1532.3	1513.5
58.1	1364	1579.4	1531	1512.3
58.2	1362.1	1578.1	1529.8	1511.1
58.3	1359.9	1577.3	1528.8	1509.8
58.4	1358.4	1575.9	1527.9	1508.6
58.5	1356.6	1574.5	1526.9	1507.4
58.6	1355.1	1573.2	1525.9	1506.2
58.7	1353.7	1571.6	1524.7	1505
58.8	1352.2	1570.5	1523.5	1503.7
58.9	1351.3	1569.4	1522.5	1502.5
59	1349.6	1568.4	1521.3	1501.3
59.1	1348.6	1566.9	1520.1	1500.1
59.2	1347.4	1565.8	1518.9	1498.9
59.3	1345.9	1564.2	1517.6	1497.5
59.4	1344.4	1563.4	1516.4	1496.1
59.5	1342.9	1562.2	1515.2	1494.7
59.6	1340.7	1561.3	1513.8	1493.3
59.7	1339.4	1559.6	1512.4	1491.9
59.8	1337.3	1558	1510.8	1490.5
59.9	1335.7	1557	1509.2	1489.1
60	1334.4	1555.8	1507.7	1487.7
60.1	1333.1	1554.4	1506.1	1486.3
60.2	1331.9	1552.9	1504.4	1484.9
60.3	1330.7	1551.2	1502.6	1483.3
60.4	1329.1	1549.8	1501	1481.7
60.5	1328	1548.7	1499.1	1480.1
60.6	1326.7	1547.7	1497.1	1478.5
60.7	1325.5	1546.5	1495	1476.9
60.8	1323.5	1544.9	1493.2	1475.4
60.9	1321.8	1543.6	1491.2	1473.8
61	1320	1541.9	1489.2	1472.2
61.1	1319.3	1540.6	1487.3	1470.6
61.2	1317.9	1539.3	1485.3	1469
61.3	1316.8	1537.4	1483.6	1467.4
61.4	1314.9	1536.1	1481.6	1465.7
61.5	1313.6	1534.5	1479.8	1464.1
61.6	1311.7	1532.8	1477.9	1462.4
61.7	1309.9	1531.4	1476	1460.8
61.8	1308.9	1529.7	1473.9	1459.1
61.9	1306.8	1528.7	1471.8	1457.5
62	1305.4	1527.6	1469.9	1455.8
62.1	1304.3	1526.8	1467.9	1454.2
62.2	1302.3	1525.8	1466	1452.5
62.3	1300.7	1524	1464.2	1450.9
62.4	1299.3	1522.8	1462.5	1449.2
62.5	1297.4	1521.4	1460.7	1447.6
62.6	1295.9	1519.7	1458.9	1445.9
62.7	1294.3	1517.9	1457	1444.3
62.8	1292.7	1516.5	1455	1442.7
62.9	1291.4	1514.9	1452.9	1441
63	1290.1	1513.7	1451.2	1439.4
63.1	1288.7	1512.6	1449.2	1437.8
63.2	1287.3	1511.5	1447.5	1436.1
63.3	1285.5	1509.8	1445.7	1434.5
63.4	1284	1508.5	1444	1432.8
